postalcode,work_location,employee_count,latitude,longitude
C0A 1R0,Customs House,1,46.1846,-62.6497
C0A 1R0,Douses Road,2,46.1846,-62.6497
C0A 1R0,Dundarave,16,46.1846,-62.6497
C0A 1R0,Elmer Blanchard Building,3,46.1846,-62.6497
C0A 1R0,Forestry Dept- Southhampton-St,1,46.1846,-62.6497
C0A 1R0,Forestry Queens,1,46.1846,-62.6497
C0A 1R0,Georgetown Government Garage,41,46.1846,-62.6497
C0A 1R0,Highway Safety Charlottetown,2,46.1846,-62.6497
C0A 1R0,Holman Building (Ch'town),2,46.1846,-62.6497
C0A 1R0,Holman Centre (Summerside),2,46.1846,-62.6497
C0A 1R0,Johnny Ross Young RSC,1,46.1846,-62.6497
C0A 1R0,King's Castle Park,1,46.1846,-62.6497
C0A 1R0,Liquor Control Commission,4,46.1846,-62.6497
C0A 1R0,Montague,1,46.1846,-62.6497
C0A 1R0,Montague Cannabis Store,3,46.1846,-62.6497
C0A 1R0,Montague Library,4,46.1846,-62.6497
C0A 1R0,Montague Liquor Store,12,46.1846,-62.6497
C0A 1R0,Montague Rural Action Centre,1,46.1846,-62.6497
C0A 1R0,Morell Library,1,46.1846,-62.6497
C0A 1R0,Mt. Stewart Highway Labs,5,46.1846,-62.6497
C0A 1R0,Northumberland Park,4,46.1846,-62.6497
C0A 1R0,Orwell Corner Museum,2,46.1846,-62.6497
C0A 1R0,Pamure Island Park,5,46.1846,-62.6497
C0A 1R0,PEI Medicare Office,1,46.1846,-62.6497
C0A 1R0,Provincial Admin Building,24,46.1846,-62.6497
C0A 1R0,Provincial Correctional Centre,4,46.1846,-62.6497
C0A 1R0,Red Point Park,1,46.1846,-62.6497
C0A 1R0,Red Road Homes,1,46.1846,-62.6497
C0A 1R0,Research Station,1,46.1846,-62.6497
C0A 1R0,Sherwood Business Centre,4,46.1846,-62.6497
C0A 1R0,SirLouisHenryDaviesLawCourt,2,46.1846,-62.6497
C0A 1R0,Southern Kings & Queens RSC,8,46.1846,-62.6497
C0A 1R0,Summerside,1,46.1846,-62.6497
C0A 1R0,Tyne Valley Child/Youth Dev Hl,1,46.1846,-62.6497
C0A 1R0,VisitorInfo.Centre WoodIslands,3,46.1846,-62.6497
C0A 1S0,185 Beach Grove Road,1,46.4349,-62.6997
C0A 1S0,51-53 Water Street,1,46.4349,-62.6997
C0A 1S0,"548 Main St., Montague",3,46.4349,-62.6997
C0A 1S0,Atlantic Technology Centre,3,46.4349,-62.6997
